Time,Activities,Duration,Distance,Avg speed,Avg pace,Avg heart rate,Ascent,TSS®,Calories,Est. VO₂max
29/01/24-04/02/24,5,5:12'40 ,"60,16 km","11,5 km/h",05'11 /km,130 bpm,429 m,343 TSS,3 448 kcal,"55,5 "
22/01/24-28/01/24,5,5:50'39 ,"69,05 km","11,8 km/h",05'04 /km,139 bpm,1 074 m,418 TSS,4 256 kcal,"54,3 "
15/01/24-21/01/24,5,7:13'38 ,"66,42 km","9,2 km/h",06'31 /km,132 bpm,1 657 m,431 TSS,4 947 kcal,"54,0 "
08/01/24-14/01/24,5,5:54'10 ,"55,20 km","11,3 km/h",05'19 /km,141 bpm,1 307 m,334 TSS,3 687 kcal,"53,8 "
01/01/24-07/01/24,6,6:01'02 ,"64,73 km","10,8 km/h",05'34 /km,133 bpm,979 m,375 TSS,4 062 kcal,"54,0 "
25/12/23-31/12/23,6,4:11'26 ,"45,48 km","10,9 km/h",05'31 /km,133 bpm,157 m,237 TSS,2 912 kcal,"53,6 "
18/12/23-24/12/23,5,4:43'05 ,"45,98 km","9,7 km/h",06'09 /km,134 bpm,726 m,243 TSS,3 347 kcal,"53,5 "
11/12/23-17/12/23,5,3:33'28 ,"37,26 km","10,5 km/h",05'43 /km,134 bpm,95 m,187 TSS,2 420 kcal,"52,7 "
04/12/23-10/12/23,6,4:20'14 ,"35,56 km","8,2 km/h",07'19 /km,118 bpm,436 m,150 TSS,2 530 kcal,"53,5 "
27/11/23-03/12/23,2,1:52'59 ,"13,44 km","7,1 km/h",08'24 /km,129 bpm,273 m,77 TSS,1 309 kcal,"55,4 "
20/11/23-26/11/23,0,-,-,-,-,-,-,-,-,-
13/11/23-19/11/23,1,34'09.3 ,"5,86 km","10,3 km/h",05'49 /km,131 bpm,20 m,29 TSS,392 kcal,"55,4 "
06/11/23-12/11/23,6,3:45'18 ,"27,91 km","7,4 km/h",08'04 /km,106 bpm,205 m,150 TSS,1 794 kcal,"57,1 "
30/10/23-05/11/23,2,1:23'31 ,"6,86 km","4,9 km/h",12'10 /km,93 bpm,123 m,50 TSS,508 kcal,-
23/10/23-29/10/23,0,-,-,-,-,-,-,-,-,-
16/10/23-22/10/23,0,-,-,-,-,-,-,-,-,-
09/10/23-15/10/23,4,4:03'46 ,"48,47 km","11,9 km/h",05'01 /km,142 bpm,709 m,295 TSS,2 961 kcal,"57,4 "
02/10/23-08/10/23,3,2:21'42 ,"26,31 km","11,1 km/h",05'23 /km,132 bpm,247 m,146 TSS,1 581 kcal,"58,1 "
25/09/23-01/10/23,4,4:37'47 ,"63,61 km","13,7 km/h",04'22 /km,159 bpm,214 m,430 TSS,4 216 kcal,"58,3 "
18/09/23-24/09/23,0,-,-,-,-,-,-,-,-,-
11/09/23-17/09/23,5,7:36'43 ,"65,08 km","8,5 km/h",07'01 /km,125 bpm,1 346 m,416 TSS,4 370 kcal,"59,2 "
04/09/23-10/09/23,4,2:56'50 ,"35,72 km","12,1 km/h",04'57 /km,134 bpm,359 m,218 TSS,2 000 kcal,"55,7 "
28/08/23-03/09/23,6,15:14'05 ,"81,81 km","5,4 km/h",11'10 /km,110 bpm,4 302 m,586 TSS,6 775 kcal,"52,5 "
21/08/23-27/08/23,6,6:24'49 ,"98,47 km","15,4 km/h",04'56 /km,138 bpm,772 m,438 TSS,4 392 kcal,"58,1 "
14/08/23-20/08/23,3,4:41'22 ,"66,71 km","14,2 km/h",05'43 /km,136 bpm,1 084 m,260 TSS,3 223 kcal,"57,2 "
07/08/23-13/08/23,1,2:59'37 ,"42,61 km","14,2 km/h",04'12 /km,167 bpm,214 m,293 TSS,2 745 kcal,"58,3 "
31/07/23-06/08/23,6,4:25'57 ,"58,96 km","13,3 km/h",04'30 /km,147 bpm,291 m,382 TSS,3 515 kcal,"57,5 "
24/07/23-30/07/23,3,11:16'46 ,"63,98 km","5,7 km/h",10'34 /km,119 bpm,3 418 m,322 TSS,4 956 kcal,"52,8 "
17/07/23-23/07/23,0,-,-,-,-,-,-,-,-,-
10/07/23-16/07/23,3,2:30'39 ,"29,35 km","11,7 km/h",05'07 /km,136 bpm,754 m,186 TSS,1 719 kcal,"58,4 "
03/07/23-09/07/23,5,6:47'17 ,"81,37 km","12,0 km/h",05'00 /km,139 bpm,1 102 m,495 TSS,4 516 kcal,"57,5 "
26/06/23-02/07/23,5,4:02'38 ,"40,90 km","10,1 km/h",05'55 /km,116 bpm,12 m,198 TSS,2 082 kcal,"54,8 "
19/06/23-25/06/23,3,19:29'21 ,"138,6 km","7,1 km/h",08'26 /km,138 bpm,6 112 m,759 TSS,6 927 kcal,"55,2 "
12/06/23-18/06/23,5,5:37'53 ,"65,64 km","11,7 km/h",05'08 /km,135 bpm,1 604 m,415 TSS,3 595 kcal,"57,9 "
05/06/23-11/06/23,6,7:01'25 ,"83,40 km","11,9 km/h",05'03 /km,135 bpm,1 606 m,515 TSS,4 556 kcal,"57,0 "
29/05/23-04/06/23,4,8:06'11 ,"77,43 km","9,6 km/h",06'16 /km,141 bpm,2 674 m,473 TSS,5 524 kcal,"56,8 "
22/05/23-28/05/23,6,8:59'19 ,"104,7 km","11,6 km/h",05'09 /km,135 bpm,1 698 m,566 TSS,5 677 kcal,"60,5 "
15/05/23-21/05/23,6,7:00'40 ,"80,86 km","11,5 km/h",05'12 /km,133 bpm,1 494 m,492 TSS,4 509 kcal,"59,4 "
08/05/23-14/05/23,4,9:04'13 ,"105,9 km","11,7 km/h",05'46 /km,137 bpm,2 964 m,554 TSS,5 829 kcal,"57,9 "
01/05/23-07/05/23,5,9:23'08 ,"105,3 km","11,2 km/h",05'21 /km,134 bpm,2 625 m,644 TSS,5 857 kcal,"56,9 "
24/04/23-30/04/23,7,6:57'00 ,"81,93 km","11,8 km/h",05'05 /km,130 bpm,1 214 m,633 TSS,4 237 kcal,"57,5 "
17/04/23-23/04/23,6,7:46'26 ,"88,62 km","11,4 km/h",05'15 /km,135 bpm,1 996 m,784 TSS,5 002 kcal,"55,2 "
10/04/23-16/04/23,5,5:49'00 ,"71,73 km","12,3 km/h",04'51 /km,136 bpm,1 313 m,662 TSS,3 869 kcal,"48,0 "
03/04/23-09/04/23,4,6:45'19 ,"46,49 km","6,9 km/h",08'43 /km,112 bpm,1 479 m,404 TSS,3 245 kcal,"50,5 "
27/03/23-02/04/23,6,5:13'00 ,"73,84 km","14,2 km/h",04'14 /km,148 bpm,172 m,730 TSS,4 051 kcal,"64,4 "
